gloss,path,word,date,variant,token
PLEASE20241013,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL P/SG ASL Please 2024-10-13 Upload/Documentation/SG ASL Please 2024-10-13 CC.mp4,please,2024-10-13,Documentation,PLEASE
ECLIPSE202448,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL E/SG ASL Eclipse 2024-4-8 Upload/Documentation/SG ASL Eclipse 2024-4-8 CC.mp4,eclipse,2024-4-8,Documentation,ECLIPSE
BEDSPREADS,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bedspreads 2 2024-2-29 Upload/Documentation/SG ASL Bedspreads 2 2024-2-29 CC.mp4,bedspreads,2024-2-29,Documentation,BEDSPREADS
BEST(ALT),/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Best (Alt) 2 2024-4-2 Upload/Documentation/SG ASL Best (Alt) 2 2024-4-2 CC.mp4,best,2024-4-2,Documentation,BEST
BLATANT,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blatant 2 2024-5-5 Upload/Documentation/SG ASL Blatant 2 2024-5-5 CC.mp4,blatant,2024-5-5,Documentation,BLATANT
BLACKFRIDAY2024428,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Black Friday 2024-4-28 Upload/Documentation/SG ASL Black Friday 2024-4-28 CC.mp4,blackfriday,2024-4-28,Documentation,BLACKFRIDAY
BUMPINTOANOTHERPERSON2024817,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bump into Another Person 2024-8-17 Upload/Documentation/SG ASL Bump into Another Person 2024-8-17 CC.mp4,bumpintoanotherperson,2024-8-17,Documentation,BUMPINTOANOTHERPERSON
BROTHERINLAW,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Brother in Law 3 2024-8-4 Upload/Documentation/SG ASL Brother in Law 3 2024-8-4 CC.mp4,brotherinlaw,2024-8-4,Documentation,BROTHERINLAW
BURN,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Burn 2 2024-8-26 Upload/Documentation/SG ASL Burn 2 2024-8-26 CC.mp4,burn,2024-8-26,Documentation,BURN
BEHAVE2024312,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Behave 2024-3-12 Upload/Documentation/SG ASL Behave 2024-3-12 CC.mp4,behave,2024-3-12,Documentation,BEHAVE
BROWNNOSE202486,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Brownnose 2024-8-6 Upload/Documentation/SG ASL Brownnose 2024-8-6 CC.mp4,brownnose,2024-8-6,Documentation,BROWNNOSE
BENEFIT,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Benefit 2 2024-3-26 Upload/Documentation/SG ASL Benefit 2 2024-3-26 CC.mp4,benefit,2024-3-26,Documentation,BENEFIT
BRANCHPATH2024710,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Branch Path 2024-7-10 Upload/Documentation/SG ASL Branch Path 2024-7-10 CC.mp4,branchpath,2024-7-10,Documentation,BRANCHPATH
BATTINGAVERAGE202429,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Batting Average 2024-2-9 Upload/Documentation/SG ASL Batting Average 2024-2-9 CC.mp4,battingaverage,2024-2-9,Documentation,BATTINGAVERAGE
BOTTLE,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bottle 2 2024-6-25 Upload/Documentation/SG ASL Bottle 2 2024-6-25 CC.mp4,bottle,2024-6-25,Documentation,BOTTLE
BOOM2024613,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Boom 2024-6-13 Upload/Documentation/SG ASL Boom 2024-6-13 CC.mp4,boom,2024-6-13,Documentation,BOOM
BIAS,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bias 3 2024-4-10 Upload/Documentation/SG ASL Bias 3 2024-4-10 CC.mp4,bias,2024-4-10,Documentation,BIAS
BURKINAFASO,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Burkina Faso 2 2024-8-24 Upload/Documentation/SG ASL Burkina Faso 2 2024-8-24 CC.mp4,burkinafaso,2024-8-24,Documentation,BURKINAFASO
BYEALT202497,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bye Alt 2024-9-7 Upload/Documentation/SG ASL Bye Alt 2024-9-7 CC.mp4,byealt,2024-9-7,Documentation,BYEALT
BASEBALLPLAYER2024121,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Baseball player 2024-1-21 Upload/Documentation/SG ASL Baseball player 2024-1-21 CC.mp4,baseballplayer,2024-1-21,Documentation,BASEBALLPLAYER
BEAM,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Beam 1 2024-2-15 Upload/Documentation/SG ASL Beam 1 2024-2-15 CC.mp4,beam,2024-2-15,Documentation,BEAM
BEENTHERE202433,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Been There 2024-3-3 Upload/Documentation/SG ASL Been There 2024-3-3 CC.mp4,beenthere,2024-3-3,Documentation,BEENTHERE
BLUEBERRY,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blueberry 2 2024-5-24 Upload/Documentation/SG ASL Blueberry 2 2024-5-24 CC.mp4,blueberry,2024-5-24,Documentation,BLUEBERRY
BANDMUSIC(ALT)20231230,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Band Music (Alt) 2023-12-30 Upload/Documentation/SG ASL Band Music (Alt) 2023-12-30 CC.mp4,bandmusic,2023-12-30,Documentation,BANDMUSIC
BELOVED2024319,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Beloved 2024-3-19 Upload/Documentation/SG ASL Beloved 2024-3-19 CC.mp4,beloved,2024-3-19,Documentation,BELOVED
BACKWARD,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Backward 2 2023-12-10 Upload/Documentation/SG ASL Backward 2 2023-12-10 CC.mp4,backward,2023-12-10,Documentation,BACKWARD
BROWNHAIR202486,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Brown Hair 2024-8-6 Upload/Documentation/SG ASL Brown Hair 2024-8-6 CC.mp4,brownhair,2024-8-6,Documentation,BROWNHAIR
BOOKCASE202469,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bookcase 2024-6-9 Upload/Documentation/SG ASL Bookcase 2024-6-9 CC.mp4,bookcase,2024-6-9,Documentation,BOOKCASE
BLACKLIST,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blacklist 1 2024-5-1 Upload/Documentation/SG ASL Blacklist 1 2024-5-1 CC.mp4,blacklist,2024-5-1,Documentation,BLACKLIST
BETTERHALF202446,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Better Half 2024-4-6 Upload/Documentation/SG ASL Better Half 2024-4-6 CC.mp4,betterhalf,2024-4-6,Documentation,BETTERHALF
BACKLOG,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Backlog 1 2023-12-6 Upload/Documentation/SG ASL Backlog 1 2023-12-6 CC.mp4,backlog,2023-12-6,Documentation,BACKLOG
BENEVOLENT(ALT)2024327,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Benevolent (Alt) 2024-3-27 Upload/Documentation/SG ASL Benevolent (Alt) 2024-3-27 CC.mp4,benevolent,2024-3-27,Documentation,BENEVOLENT
BANDIT(VARIANT),/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bandit (Variant) 2 2024-1-2 Upload/Documentation/SG ASL Bandit (Variant) 2 2024-1-2 CC.mp4,bandit,2024-1-2,Documentation,BANDIT
BROWSEWEBSITE202487,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Browse Website 2024-8-7 Upload/Documentation/SG ASL Browse Website 2024-8-7 CC.mp4,browsewebsite,2024-8-7,Documentation,BROWSEWEBSITE
BEE(ALT),/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bee (Alt) 2 2024-3-2 Upload/Documentation/SG ASL Bee (Alt) 2 2024-3-2 CC.mp4,bee,2024-3-2,Documentation,BEE
CAJOLEALT20241018,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Cajole Alt 2024-10-18 Upload/Documentation/SG ASL Cajole Alt 2024-10-18 CC.mp4,cajolealt,2024-10-18,Documentation,CAJOLEALT
BRIEFCASE,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL BriefCase 1 2024-7-27 Upload/Documentation/SG ASL BriefCase 1 2024-7-27 CC.mp4,briefcase,2024-7-27,Documentation,BRIEFCASE
BLAST,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blast 2 2024-5-5 Upload/Documentation/SG ASL Blast 2 2024-5-5 CC.mp4,blast,2024-5-5,Documentation,BLAST
BULLSHITALT2024813,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bullshit Alt 2024-8-13 Upload/Documentation/SG ASL Bullshit Alt 2024-8-13 CC.mp4,bullshitalt,2024-8-13,Documentation,BULLSHITALT
BALL(DANCE),/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Ball (Dance) 3 2023-12-18 Upload/Documentation/SG ASL Ball (Dance) 3 2023-12-18 CC.mp4,ball,2023-12-18,Documentation,BALL
BREACHALT,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Breach Alt 2 2024-7-14 Upload/Documentation/SG ASL Breach Alt 2 2024-7-14 CC.mp4,breachalt,2024-7-14,Documentation,BREACHALT
BORROWFROMME,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Borrow From Me 2 2024-6-23 Upload/Documentation/SG ASL Borrow From Me 2 2024-6-23 CC.mp4,borrowfromme,2024-6-23,Documentation,BORROWFROMME
BINGE2024421,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Binge 2024-4-21 Upload/Documentation/SG ASL Binge 2024-4-21 CC.mp4,binge,2024-4-21,Documentation,BINGE
BOATEXTENDED202461,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Boat Extended 2024-6-1 Upload/Documentation/SG ASL Boat Extended 2024-6-1 CC.mp4,boatextended,2024-6-1,Documentation,BOATEXTENDED
BOTHERSOMEONE2024625,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bother Someone 2024-6-25 Upload/Documentation/SG ASL Bother Someone 2024-6-25 CC.mp4,bothersomeone,2024-6-25,Documentation,BOTHERSOMEONE
BLUECOLOR2024523,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Blue Color 2024-5-23 Upload/Documentation/SG ASL Blue Color 2024-5-23 CC.mp4,bluecolor,2024-5-23,Documentation,BLUECOLOR
BECOME,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Become 3 2024-2-26 Upload/Documentation/SG ASL Become 3 2024-2-26 CC.mp4,become,2024-2-26,Documentation,BECOME
BYNEARALT202495,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL By Near Alt 2024-9-5 Upload/Documentation/SG ASL By Near Alt 2024-9-5 CC.mp4,bynearalt,2024-9-5,Documentation,BYNEARALT
BACKPACK2023127,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Backpack 2023-12-7 Upload/Documentation/SG ASL Backpack 2023-12-7 CC.mp4,backpack,2023-12-7,Documentation,BACKPACK
BAG(ALT)20231215,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bag (Alt) 2023-12-15 Upload/Documentation/SG ASL Bag (Alt) 2023-12-15 CC.mp4,bag,2023-12-15,Documentation,BAG
BATTINGAVERAGE(ALT)202429,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Batting Average (Alt) 2024-2-9 Upload/Documentation/SG ASL Batting Average (Alt) 2024-2-9 CC.mp4,battingaverage,2024-2-9,Documentation,BATTINGAVERAGE
BULLSEYE2024813,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Bullseye 2024-8-13 Upload/Documentation/SG ASL Bullseye 2024-8-13 CC.mp4,bullseye,2024-8-13,Documentation,BULLSEYE
BRAINSTORM,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Brainstorm 2 2024-7-8 Upload/Documentation/SG ASL Brainstorm 2 2024-7-8 CC.mp4,brainstorm,2024-7-8,Documentation,BRAINSTORM
BALANCE,/mnt/data/media/SG ASL Dictionary/media/SG ASL Dictionary/ASL B/SG ASL Balance 1 2023-12-17 Upload/Documentation/SG ASL Balance 1 2023-12-17 CC.mp4,balance,2023-12-17,Documentation,BALANCE
