gloss,path
PLEASE20241013,media/SG ASL Dictionary/ASL P/SG ASL Please 2024-10-13 Upload/Documentation/SG ASL Please 2024-10-13 CC.mp4
ECLIPSE202448,media/SG ASL Dictionary/ASL E/SG ASL Eclipse 2024-4-8 Upload/Documentation/SG ASL Eclipse 2024-4-8 CC.mp4
BEDSPREADS,media/SG ASL Dictionary/ASL B/SG ASL Bedspreads 2 2024-2-29 Upload/Documentation/SG ASL Bedspreads 2 2024-2-29 CC.mp4
BEST(ALT),media/SG ASL Dictionary/ASL B/SG ASL Best (Alt) 2 2024-4-2 Upload/Documentation/SG ASL Best (Alt) 2 2024-4-2 CC.mp4
BLATANT,media/SG ASL Dictionary/ASL B/SG ASL Blatant 2 2024-5-5 Upload/Documentation/SG ASL Blatant 2 2024-5-5 CC.mp4
BLACKFRIDAY2024428,media/SG ASL Dictionary/ASL B/SG ASL Black Friday 2024-4-28 Upload/Documentation/SG ASL Black Friday 2024-4-28 CC.mp4
BUMPINTOANOTHERPERSON2024817,media/SG ASL Dictionary/ASL B/SG ASL Bump into Another Person 2024-8-17 Upload/Documentation/SG ASL Bump into Another Person 2024-8-17 CC.mp4
BROTHERINLAW,media/SG ASL Dictionary/ASL B/SG ASL Brother in Law 3 2024-8-4 Upload/Documentation/SG ASL Brother in Law 3 2024-8-4 CC.mp4
BURN,media/SG ASL Dictionary/ASL B/SG ASL Burn 2 2024-8-26 Upload/Documentation/SG ASL Burn 2 2024-8-26 CC.mp4
BEHAVE2024312,media/SG ASL Dictionary/ASL B/SG ASL Behave 2024-3-12 Upload/Documentation/SG ASL Behave 2024-3-12 CC.mp4
BROWNNOSE202486,media/SG ASL Dictionary/ASL B/SG ASL Brownnose 2024-8-6 Upload/Documentation/SG ASL Brownnose 2024-8-6 CC.mp4
BENEFIT,media/SG ASL Dictionary/ASL B/SG ASL Benefit 2 2024-3-26 Upload/Documentation/SG ASL Benefit 2 2024-3-26 CC.mp4
BRANCHPATH2024710,media/SG ASL Dictionary/ASL B/SG ASL Branch Path 2024-7-10 Upload/Documentation/SG ASL Branch Path 2024-7-10 CC.mp4
BATTINGAVERAGE202429,media/SG ASL Dictionary/ASL B/SG ASL Batting Average 2024-2-9 Upload/Documentation/SG ASL Batting Average 2024-2-9 CC.mp4
BOTTLE,media/SG ASL Dictionary/ASL B/SG ASL Bottle 2 2024-6-25 Upload/Documentation/SG ASL Bottle 2 2024-6-25 CC.mp4
BOOM2024613,media/SG ASL Dictionary/ASL B/SG ASL Boom 2024-6-13 Upload/Documentation/SG ASL Boom 2024-6-13 CC.mp4
BIAS,media/SG ASL Dictionary/ASL B/SG ASL Bias 3 2024-4-10 Upload/Documentation/SG ASL Bias 3 2024-4-10 CC.mp4
BURKINAFASO,media/SG ASL Dictionary/ASL B/SG ASL Burkina Faso 2 2024-8-24 Upload/Documentation/SG ASL Burkina Faso 2 2024-8-24 CC.mp4
BYEALT202497,media/SG ASL Dictionary/ASL B/SG ASL Bye Alt 2024-9-7 Upload/Documentation/SG ASL Bye Alt 2024-9-7 CC.mp4
BASEBALLPLAYER2024121,media/SG ASL Dictionary/ASL B/SG ASL Baseball player 2024-1-21 Upload/Documentation/SG ASL Baseball player 2024-1-21 CC.mp4
BEAM,media/SG ASL Dictionary/ASL B/SG ASL Beam 1 2024-2-15 Upload/Documentation/SG ASL Beam 1 2024-2-15 CC.mp4
BEENTHERE202433,media/SG ASL Dictionary/ASL B/SG ASL Been There 2024-3-3 Upload/Documentation/SG ASL Been There 2024-3-3 CC.mp4
BLUEBERRY,media/SG ASL Dictionary/ASL B/SG ASL Blueberry 2 2024-5-24 Upload/Documentation/SG ASL Blueberry 2 2024-5-24 CC.mp4
BANDMUSIC(ALT)20231230,media/SG ASL Dictionary/ASL B/SG ASL Band Music (Alt) 2023-12-30 Upload/Documentation/SG ASL Band Music (Alt) 2023-12-30 CC.mp4
BELOVED2024319,media/SG ASL Dictionary/ASL B/SG ASL Beloved 2024-3-19 Upload/Documentation/SG ASL Beloved 2024-3-19 CC.mp4
BACKWARD,media/SG ASL Dictionary/ASL B/SG ASL Backward 2 2023-12-10 Upload/Documentation/SG ASL Backward 2 2023-12-10 CC.mp4
BROWNHAIR202486,media/SG ASL Dictionary/ASL B/SG ASL Brown Hair 2024-8-6 Upload/Documentation/SG ASL Brown Hair 2024-8-6 CC.mp4
BOOKCASE202469,media/SG ASL Dictionary/ASL B/SG ASL Bookcase 2024-6-9 Upload/Documentation/SG ASL Bookcase 2024-6-9 CC.mp4
BLACKLIST,media/SG ASL Dictionary/ASL B/SG ASL Blacklist 1 2024-5-1 Upload/Documentation/SG ASL Blacklist 1 2024-5-1 CC.mp4
BETTERHALF202446,media/SG ASL Dictionary/ASL B/SG ASL Better Half 2024-4-6 Upload/Documentation/SG ASL Better Half 2024-4-6 CC.mp4
BACKLOG,media/SG ASL Dictionary/ASL B/SG ASL Backlog 1 2023-12-6 Upload/Documentation/SG ASL Backlog 1 2023-12-6 CC.mp4
BENEVOLENT(ALT)2024327,media/SG ASL Dictionary/ASL B/SG ASL Benevolent (Alt) 2024-3-27 Upload/Documentation/SG ASL Benevolent (Alt) 2024-3-27 CC.mp4
BANDIT(VARIANT),media/SG ASL Dictionary/ASL B/SG ASL Bandit (Variant) 2 2024-1-2 Upload/Documentation/SG ASL Bandit (Variant) 2 2024-1-2 CC.mp4
BROWSEWEBSITE202487,media/SG ASL Dictionary/ASL B/SG ASL Browse Website 2024-8-7 Upload/Documentation/SG ASL Browse Website 2024-8-7 CC.mp4
BEE(ALT),media/SG ASL Dictionary/ASL B/SG ASL Bee (Alt) 2 2024-3-2 Upload/Documentation/SG ASL Bee (Alt) 2 2024-3-2 CC.mp4
CAJOLEALT20241018,media/SG ASL Dictionary/ASL B/SG ASL Cajole Alt 2024-10-18 Upload/Documentation/SG ASL Cajole Alt 2024-10-18 CC.mp4
BRIEFCASE,media/SG ASL Dictionary/ASL B/SG ASL BriefCase 1 2024-7-27 Upload/Documentation/SG ASL BriefCase 1 2024-7-27 CC.mp4
BLAST,media/SG ASL Dictionary/ASL B/SG ASL Blast 2 2024-5-5 Upload/Documentation/SG ASL Blast 2 2024-5-5 CC.mp4
BULLSHITALT2024813,media/SG ASL Dictionary/ASL B/SG ASL Bullshit Alt 2024-8-13 Upload/Documentation/SG ASL Bullshit Alt 2024-8-13 CC.mp4
BALL(DANCE),media/SG ASL Dictionary/ASL B/SG ASL Ball (Dance) 3 2023-12-18 Upload/Documentation/SG ASL Ball (Dance) 3 2023-12-18 CC.mp4
BREACHALT,media/SG ASL Dictionary/ASL B/SG ASL Breach Alt 2 2024-7-14 Upload/Documentation/SG ASL Breach Alt 2 2024-7-14 CC.mp4
BORROWFROMME,media/SG ASL Dictionary/ASL B/SG ASL Borrow From Me 2 2024-6-23 Upload/Documentation/SG ASL Borrow From Me 2 2024-6-23 CC.mp4
BINGE2024421,media/SG ASL Dictionary/ASL B/SG ASL Binge 2024-4-21 Upload/Documentation/SG ASL Binge 2024-4-21 CC.mp4
BOATEXTENDED202461,media/SG ASL Dictionary/ASL B/SG ASL Boat Extended 2024-6-1 Upload/Documentation/SG ASL Boat Extended 2024-6-1 CC.mp4
BOTHERSOMEONE2024625,media/SG ASL Dictionary/ASL B/SG ASL Bother Someone 2024-6-25 Upload/Documentation/SG ASL Bother Someone 2024-6-25 CC.mp4
BLUECOLOR2024523,media/SG ASL Dictionary/ASL B/SG ASL Blue Color 2024-5-23 Upload/Documentation/SG ASL Blue Color 2024-5-23 CC.mp4
BECOME,media/SG ASL Dictionary/ASL B/SG ASL Become 3 2024-2-26 Upload/Documentation/SG ASL Become 3 2024-2-26 CC.mp4
BYNEARALT202495,media/SG ASL Dictionary/ASL B/SG ASL By Near Alt 2024-9-5 Upload/Documentation/SG ASL By Near Alt 2024-9-5 CC.mp4
BACKPACK2023127,media/SG ASL Dictionary/ASL B/SG ASL Backpack 2023-12-7 Upload/Documentation/SG ASL Backpack 2023-12-7 CC.mp4
BAG(ALT)20231215,media/SG ASL Dictionary/ASL B/SG ASL Bag (Alt) 2023-12-15 Upload/Documentation/SG ASL Bag (Alt) 2023-12-15 CC.mp4
BATTINGAVERAGE(ALT)202429,media/SG ASL Dictionary/ASL B/SG ASL Batting Average (Alt) 2024-2-9 Upload/Documentation/SG ASL Batting Average (Alt) 2024-2-9 CC.mp4
BULLSEYE2024813,media/SG ASL Dictionary/ASL B/SG ASL Bullseye 2024-8-13 Upload/Documentation/SG ASL Bullseye 2024-8-13 CC.mp4
BRAINSTORM,media/SG ASL Dictionary/ASL B/SG ASL Brainstorm 2 2024-7-8 Upload/Documentation/SG ASL Brainstorm 2 2024-7-8 CC.mp4
BALANCE,media/SG ASL Dictionary/ASL B/SG ASL Balance 1 2023-12-17 Upload/Documentation/SG ASL Balance 1 2023-12-17 CC.mp4
BOIL202463,media/SG ASL Dictionary/ASL B/SG ASL Boil 2024-6-3 Upload/Documentation/SG ASL Boil 2024-6-3 CC.mp4
